"ProjID","Year","Salinity","Temp","CPUE","JuvCPUE","SubadultCPUE","AdultCPUE","ImmatureFemaleCPUE","MatureFemaleCPUE","ImmatureMaleCPUE","MatureMaleCPUE","SublegalCPUE","LegalCPUE"
"B90",2011,27.8785714285714,20.1482142857143,10.0876623376623,1.07142857142857,4.85473785473785,4.16149591149591,2.71741221741222,3.88215488215488,1.6537999037999,1.83429533429533,5.92616642616643,4.16149591149591
"B90",2012,26.825,19.675,3.99749668435013,1.33942307692308,1.83932360742706,0.81875,1.6792274535809,0.675,0.818269230769231,0.325,3.17874668435013,0.81875
"B90",2013,23.4881944444444,19.8247916666667,2.17013888888889,1.09375,0.8125,0.263888888888889,1.23611111111111,0.277777777777778,0.538194444444444,0.118055555555556,1.90625,0.263888888888889
"B90",2014,19.8888888888889,19.6906746031746,1.6875,0.364583333333333,0.614583333333333,0.708333333333333,0.354166666666667,0.520833333333333,0.135416666666667,0.229166666666667,0.979166666666667,0.708333333333333
"B90",2015,18.7678571428571,20.7199404761905,3.16666666666667,1.02083333333333,0.646130952380952,1.48095238095238,0.994642857142857,1.00595238095238,0.660416666666667,0.424404761904762,1.66696428571429,1.48095238095238
"B90",2016,22.0340909090909,22.0352272727273,9.81818181818182,1.05681818181818,2.22727272727273,5.96590909090909,1.75,3.98863636363636,1.38636363636364,2.10227272727273,3.28409090909091,5.96590909090909
"B90",2017,21.78125,21.83125,8.4157196969697,1.03125,2.64583333333333,3.6344696969697,1.95833333333333,2.83238636363636,1.1875,1.22916666666667,3.67708333333333,3.6344696969697
"B90",2018,21.09375,20.7749999722917,10.4270833333333,2.1356456043956,2.85737179487179,5.07989926739927,2.79304029304029,4.5069826007326,1.58379120879121,1.1161858974359,4.9930173992674,5.07989926739927
"E98",1999,19.875,NA,9.05797123875,0,7.246376990625,1.811594248125,0,0,0,0,7.246376990625,1.811594248125
"E98",2000,15.1333333333333,NA,7.24637699166667,0,0,4.830917995,0,0,0,0,0,4.830917995
"E98",2001,10.3,NA,3.623188495,0,0,3.623188495,0,0,0,0,0,3.623188495
"E98",2002,20.3666666666667,NA,0,0,0,0,0,0,0,0,0,0
"E98",2003,5.375,NA,3.623188495,0,3.623188495,0,0,0,0,0,3.623188495,0
"E98",2004,2.45,NA,7.2463769925,0,3.62318849625,3.62318849625,0,0,0,0,3.62318849625,3.62318849625
"E98",2005,14.975,NA,12.68115973375,1.811594248125,0,10.869565485625,0,0,0,0,1.811594248125,10.869565485625
"E98",2006,22.6,NA,21.739130975,0,0,21.739130975,0,0,0,0,0,21.739130975
"E98",2007,18.25,NA,48.14771843,0,14.98682486275,33.16089356725,0,0,0,0,14.98682486275,33.16089356725
"E98",2008,21,NA,0,0,0,0,0,0,0,0,0,0
"E98",2010,25.55,NA,65.2173919775,3.623188495625,32.60869599,28.985507491875,0,0,0,0,36.231884485625,28.985507491875
"E98",2012,26,NA,1291.06282065,0,1061.59421905958,229.468601590417,0,0,0,0,1061.59421905958,229.468601590417
"E98",2015,0.3,NA,7.24637699,7.24637699,0,0,0,0,0,0,7.24637699,0
"E98",2016,21.7,NA,7.24637699,0,0,7.24637699,0,0,0,0,0,7.24637699
"E98",2017,7,NA,14.492753985,0,7.2463769925,7.2463769925,0,0,0,0,7.2463769925,7.2463769925
"E98",2018,12.1,NA,7.24637699,0,7.24637699,0,0,0,0,0,7.24637699,0
"E99",1999,23,NA,7.24637699,0,3.623188495,3.623188495,0,0,0,0,3.623188495,3.623188495
"E99",2000,18.0666666666667,NA,2.415458997,0,2.415458997,0,0,0,0,0,2.415458997,0
"E99",2001,21.3333333333333,NA,3.01932366666667,0,0,3.01932366666667,0,0,0,0,0,3.01932366666667
"E99",2002,25.8583333333333,NA,4.5289855,0,1.8115942,2.7173913,0,0,0,0,1.8115942,2.7173913
"E99",2003,18.6,NA,9.057971239,1.811594247625,4.5289856191875,2.7173913721875,0,0,0,0,6.3405798668125,2.7173913721875
"E99",2004,25.85,NA,3.623188495,0,0,3.623188495,0,0,0,0,0,3.623188495
"E99",2005,24.3,NA,0,0,0,0,0,0,0,0,0,0
"E99",2006,25.8,NA,4.52898550025,0,1.81159420804167,2.71739129220833,0,0,0,0,1.81159420804167,2.71739129220833
"E99",2007,28.2,NA,3.6231884955,3.6231884955,0,0,0,0,0,0,3.6231884955,0
"E99",2009,22.4333333333333,NA,2.415458997,1.2077294985,1.2077294985,0,0,0,0,0,2.415458997,0
"E99",2010,20.5,NA,7.24637699,0,3.623188495,3.623188495,0,0,0,0,3.623188495,3.623188495
"E99",2011,24.3,NA,10.8695654855,0,10.8695654855,0,0,0,0,0,10.8695654855,0
"E99",2012,14.5,NA,1.81159424775,0,0,1.81159424775,0,0,0,0,0,1.81159424775
"E99",2013,25.5666666666667,NA,1.2077294985,0,1.2077294985,0,0,0,0,0,1.2077294985,0
"E99",2014,18.5,NA,7.24637699166667,0,0,7.24637699166667,0,0,0,0,0,7.24637699166667
"E99",2015,17.7,NA,0,0,0,0,0,0,0,0,0,0
"E99",2016,30.7,NA,0,0,0,0,0,0,0,0,0,0
"E99",2017,22.1,NA,3.623188495,0,1.8115942475,1.8115942475,0,0,0,0,1.8115942475,1.8115942475
"E99",2018,22.4,NA,1.81159424775,0,0,1.81159424775,0,0,0,0,0,1.81159424775
"P88",1988,25,17.3,76.3179916317992,NA,NA,NA,NA,NA,NA,NA,34.1422594142259,42.1757322175732
"P88",1989,13,22.1,112.170588899463,NA,NA,NA,NA,NA,NA,NA,36.3211123118861,75.8494765875768
"P88",1990,22.5,20.9,66.3791517629024,NA,NA,NA,NA,NA,NA,NA,15.0884006131834,51.290751149719
"P88",1991,16.5,22.2,53.2242505964112,NA,NA,NA,NA,NA,NA,NA,12.9416035680946,40.2826470283166
"P88",1992,17,16.7,60.8640282131661,NA,NA,NA,NA,NA,NA,NA,11.0883620689655,49.7756661442006
"P88",1993,22.5,21.25,69.6587358807979,NA,NA,NA,NA,NA,NA,NA,27.2362412881519,42.422494592646
"P88",1994,16,21.8,45.4486977360156,NA,NA,NA,NA,NA,NA,NA,19.0174686258435,26.4312291101722
"P88",1995,20.5,19.85,71.8916811399,NA,NA,NA,NA,NA,NA,NA,21.8112217771949,50.0804593627051
"P88",1996,21,20.65,57.0021052631579,NA,NA,NA,NA,NA,NA,NA,23.6912280701754,33.3108771929825
"P88",1997,20,18.35,36.4299701123364,NA,NA,NA,NA,NA,NA,NA,12.7726819883885,23.6572881239479
"P88",1998,22.5,21.75,31.2529799994981,NA,NA,NA,NA,NA,NA,NA,9.36435042284625,21.8886295766519
"P88",1999,16,19.15,68.6802369604917,NA,NA,NA,NA,NA,NA,NA,24.3597167164046,44.3205202440871
"P88",2000,22.5,16.15,26.6503298237616,NA,NA,NA,NA,NA,NA,NA,12.4600720910684,14.1902577326932
"P88",2001,27,19.9,19.533527696793,NA,NA,NA,NA,NA,NA,NA,9.97813411078717,9.55539358600583
"P88",2002,25,16.65,50.6813068130681,NA,NA,NA,NA,NA,NA,NA,16.5331653316533,34.1481414814148
